step,action,reason,sim_max,surprise,surp_norm,entropy,topk,used_key_id,shadow_size,mem_size
56,defer,warmup,,,,,6,,0,0
88,defer,warmup,,,,,6,,0,0
127,defer,warmup,,,,,6,,0,0
206,defer,warmup,,,,,6,,0,0
209,defer,warmup,,,,,6,,0,0
234,defer,warmup,,,,,6,,0,0
235,defer,warmup,,,,,6,,0,0
236,defer,warmup,,,,,6,,0,0
248,defer,warmup,,,,,6,,0,0
266,commit,add,-1.0,,,1.0,6,,0,1
291,stage,staged,,,,,6,,1,1,0.0874
293,commit,add,0.41387492418289185,0.21023136377334595,,1.0,6,0,1,2
297,stage,staged,,,,,6,,2,2,0.0349
298,stage,staged,,,,,6,,3,2,0.1091
299,stage,staged,,,,,6,,4,2,0.0624
298,promote,shadow_promote,,,,,6,,0,3
299,promote,shadow_promote,,,,,6,,0,4
297,promote,shadow_promote,,,,,6,,0,5
291,promote,shadow_promote,,,,,6,,0,6
300,commit,add,0.5555400252342224,0.17353469133377075,,1.0,6,2,0,7
314,commit,add,0.46588897705078125,0.38516664505004883,,1.0,6,4,0,8
316,stage,staged,,,,,6,,1,8,0.0957
318,stage,staged,,,,,6,,2,8,0.0964
319,stage,staged,,,,,6,,3,8,0.1009
324,commit,add,0.493289053440094,0.25582194328308105,,1.0,6,7,3,9
326,commit,add,0.5573607087135315,0.25815659761428833,,1.0,6,8,3,10
328,stage,staged,,,,,6,,4,10,0.1313
331,commit,add,0.5600648522377014,0.2442665696144104,,1.0,6,8,4,11
332,commit,add,0.5533666014671326,0.2964963912963867,,1.0,6,10,4,12
333,stage,staged,,,,,6,,5,12,0.1011
335,stage,staged,,,,,6,,6,12,0.0756
337,stage,staged,,,,,6,,7,12,0.11
340,commit,add,0.5310574173927307,0.1685119867324829,,1.0,6,10,7,13
341,stage,staged,,,,,6,,8,13,0.0548
345,stage,staged,,,,,6,,9,13,0.1261
347,commit,add,0.36360830068588257,0.8889496475458145,,1.0,6,0,9,14
